;parameter;value;temperature;solar_power;load_heat;load_elec;ele_price_in;gas_price;ele_price_out;ev_aval
sto;stocap;15.0;;;;;;;;
sto;initSOC;40.0;;;;;;;;
sto;eta;0.0;;;;;;;;
sto;minpow;0.0;;;;;;;;
sto;maxpow;12.0;;;;;;;;
sto;self_discharge;0.0;;;;;;;;
boiler;maxpow;2.0;;;;;;;;
boiler;minpow;0.0;;;;;;;;
boiler;eta;0.96;;;;;;;;
chp;minpow;0.0;;;;;;;;
chp;maxpow;2.0;;;;;;;;
hp;minpow;2.0;;;;;;;;
hp;maxpow;4.0;;;;;;;;
pv;maxpow;5.0;;;;;;;;
bat;stocap;2.5;;;;;;;;
bat;eta;0.96;;;;;;;;
bat;minpow;0.0;;;;;;;;
bat;maxpow;5.0;;;;;;;;
bat;initSOC;50.0;;;;;;;;
ev;stocap;40.0;;;;;;;;
ev;eta;0.98;;;;;;;;
ev;initSOC;20.0;;;;;;;;
ev;endSOC;90.0;;;;;;;;
ev;minpow;0.0;;;;;;;;
ev;maxpow;10.0;;;;;;;;
86;;;0.0;0.0;2.538709778179742;1.2100900900900906;0.2644440312141183;0.07811287972508596;0.11;0.0
87;;;0.0;0.0;2.6442241418719994;1.4359735735735744;0.26599999761761384;0.07825154639175261;0.11;0.0
88;;;0.0;0.0;1.7526948219690164;1.1132828828828834;0.26761591417858566;0.07935554639175263;0.11;0.0
89;;;0.0;0.0;1.5075783477090345;0.8228612612612617;0.2692848612944756;0.07818754639175261;0.11;0.0
90;;;0.0;0.0;1.8238029597728755;0.9196684684684691;0.2709996922777559;0.08091821305841929;0.11;0.0
91;;;0.0;0.0;1.8330761534615463;1.0003411411411416;0.2727530639591408;0.07828354639175263;0.11;0.0
92;;;0.0;0.0;1.8512019654932397;0.9358030030030036;0.2745374681321641;0.08032621305841929;0.11;0.0
93;;;0.0;0.0;2.293354754735035;0.8873993993994002;0.27634526370447093;0.07993154639175262;0.11;0.0
94;;;0.0;0.0;4.081434939899866;0.951937537537538;0.2781687094181468;0.07888087972508595;0.11;0.0
95;;;0.0;0.0;0.42957688574646524;0.7744576576576582;0.2997432989690723;0.07993154639175262;0.11;0.0
