vehID,d_travelled,delta_t,t_arrival,t_departure,delta_t_sec
1051795-1,3.8821989999999995,0 days 19:29:00.000000000,2012-05-17 22:18:00,2012-05-18 17:47:00,70140
1051795-1,29.200299,0 days 15:10:00.000000000,2012-05-18 19:07:00,2012-05-19 10:17:00,54600
1051795-1,4.9563999999999995,0 days 07:35:00.000000000,2012-05-19 13:09:00,2012-05-19 20:44:00,27300
1051795-2,48.571094,0 days 00:03:00.000000000,2012-05-13 16:04:00,2012-05-13 16:07:00,180
1051795-2,1.0798999999999999,0 days 14:05:00.000000000,2012-05-13 16:40:00,2012-05-14 06:45:00,50700
1051795-2,21.279899,0 days 01:20:00.000000000,2012-05-14 07:45:00,2012-05-14 09:05:00,4800
1051795-2,3.8365980000000004,0 days 02:25:00.000000000,2012-05-14 09:24:00,2012-05-14 11:49:00,8700
1051795-2,6.405398,0 days 02:13:00.000000000,2012-05-14 13:22:00,2012-05-14 15:35:00,7980
1051795-2,10.858697,0 days 00:51:00.000000000,2012-05-14 17:55:00,2012-05-14 18:46:00,3060
1051795-2,3.535499,0 days 11:57:00.000000000,2012-05-14 21:20:00,2012-05-15 09:17:00,43020
1051795-2,5.298099000000001,0 days 03:14:00.000000000,2012-05-15 09:46:00,2012-05-15 13:00:00,11640
1051795-2,3.9353979999999997,0 days 04:25:00.000000000,2012-05-15 13:41:00,2012-05-15 18:06:00,15900
1051795-2,34.811398,0 days 00:02:00.000000000,2012-05-15 19:36:00,2012-05-15 19:38:00,120
1051795-2,3.8434990000000004,0 days 00:02:00.000000000,2012-05-15 20:34:00,2012-05-15 20:36:00,120
1051795-2,4.052299,0 days 23:03:00.000000000,2012-05-17 09:22:00,2012-05-18 08:25:00,82980
1051795-2,4.611398,0 days 21:53:00.000000000,2012-05-18 13:12:00,2012-05-19 11:05:00,78780
1051795-2,7.337900000000001,0 days 03:26:00.000000000,2012-05-19 12:34:00,2012-05-19 16:00:00,12360
1054803-1,66.06549899999999,0 days 19:50:00.000000000,2012-05-03 15:24:00,2012-05-04 11:14:00,71400
1054803-1,5.083799,0 days 01:54:00.000000000,2012-05-04 12:02:00,2012-05-04 13:56:00,6840
1054803-1,14.568899,0 days 00:24:00.000000000,2012-05-04 16:13:00,2012-05-04 16:37:00,1440
